"Name";"Screen_size";"Video_conf";"Clusters_screen_gpu"
"HP 14-cf0000";"14""";"Integrated";"Thin (13""-14"")"
"ASUS W730";"16"">";"External GM";"Gamer GPU (15"">)"
"HP ProBook 470 G5";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS ZenBook S UX391UA";"13""";"Integrated";"Thin (13""-14"")"
"ASUS ROG GL502VM";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS VivoBook 15 X542UA";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI P65 Creator 9SE";"15""";"External GM";"Gamer GPU (15"">)"
"HP EliteBook 840 G5";"14""";"Integrated";"Thin (13""-14"")"
"ASUS VivoBook 15 X540BP";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"DELL XPS 15 9575 2-in-1";"15""";"External GM";"Gamer GPU (15"">)"
"HP 240 G6";"14""";"Integrated";"Thin (13""-14"")"
"ASUS Zenbook S13 UX392";"13""";"Integrated";"Thin (13""-14"")"
"Acer Aspire 5 (A515-52)";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo ThinkPad A275";"<12""";"Integrated";"Mini (<12"")"
"ASUS ZENBOOK UX303UB";"13""";"External MS";"Thin (13""-14"")"
"Acer Nitro 5 (AN515-43)";"15""";"External GM";"Gamer GPU (15"">)"
"HP 15-ay000";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"GIGABYTE AERO 15";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS ROG Strix G531";"15""";"External GM";"Gamer GPU (15"">)"
"DELL G3 15 3579";"15""";"External GM";"Gamer GPU (15"">)"
"Acer SWIFT 7 (SF714-51T)";"14""";"Integrated";"Thin (13""-14"")"
"DELL Inspiron 5593";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer ASPIRE 3 (A315-41)";"15""";"Integrated";"Integrated GPU (15"">)"
"HP PAVILION 15-bc500";"15""";"External GM";"Gamer GPU (15"">)"
"Haier HI133";"13""";"Integrated";"Thin (13""-14"")"
"Acer Extensa 15 EX215-21G";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo Ideapad 530s 14 AMD";"14""";"Integrated";"Thin (13""-14"")"
"DELL Inspiron 3782";"16"">";"Integrated";"Integrated GPU (15"">)"
"KREZ N1403S Travel";"14""";"Integrated";"Thin (13""-14"")"
"Acer ASPIRE 1 (A114-32)";"14""";"Integrated";"Thin (13""-14"")"
"HP 15-ra100";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo V330 15";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Prestigio SmartBook 141C";"14""";"Integrated";"Thin (13""-14"")"
"ASUS VivoBook 17 X705UB";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"HP Pavilion Gaming 15-cx0000";"15""";"External GM";"Gamer GPU (15"">)"
"DELL Vostro 5481";"14""";"External MS";"Thin (13""-14"")"
"Irbis NB245B";"14""";"Integrated";"Thin (13""-14"")"
"HP Envy 15-ds0000 x360";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo Ideapad S530 13";"13""";"Integrated";"Thin (13""-14"")"
"ASUS ZenBook 15 UX533FD";"15""";"External GM";"Gamer GPU (15"">)"
"HP 620";"15""";"Integrated";"Integrated GPU (15"">)"
"HP PAVILION 15-cs1000";"15""";"External GM";"Gamer GPU (15"">)"
"HP OMEN 17-cb0000";"16"">";"External GM";"Gamer GPU (15"">)"
"HP ProBook 450 G7";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP EliteBook 745 G5";"14""";"Integrated";"Thin (13""-14"")"
"HP 15-bs700";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo V320 17";"16"">";"Integrated";"Integrated GPU (15"">)"
"Lenovo ThinkPad P1";"15""";"External Pro";"Prof. WS"
"ASUS VivoBook S15 S510";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer SWIFT 5 (SF514-52T)";"14""";"Integrated";"Thin (13""-14"")"
"Xiaomi Mi Notebook Pro 15.6"" Enhanced Edition 2019";"15""";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE E 15 (E5-576)";"15""";"Integrated";"Integrated GPU (15"">)"
"HP 15-ba100";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer SWIFT 3 (SF314-51)";"14""";"External MS";"Thin (13""-14"")"
"Lenovo Yoga 520 14";"14""";"Integrated";"Thin (13""-14"")"
"ASUS D541NA";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS ZenBook UX430UA";"14""";"Integrated";"Thin (13""-14"")"
"Lenovo Yoga C740-14";"14""";"Integrated";"Thin (13""-14"")"
"Lenovo V110 15 Intel";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer SWIFT 3 (SF314-52)";"14""";"Integrated";"Thin (13""-14"")"
"Lenovo IdeaPad 300 15";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"DELL Latitude 5300";"13""";"Integrated";"Thin (13""-14"")"
"Xiaomi Mi Notebook Air 13.3"" 2017";"13""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook Pro 15 N580";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo IdeaPad 320 15 AMD";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer ASPIRE 7 (A715-71G)";"15""";"External GM";"Gamer GPU (15"">)"
"HP 15-ac100";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS ZenBook 3 UX390UA";"<12""";"Integrated";"Mini (<12"")"
"HP EliteBook 850 G5";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook A712";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo Legion Y520";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS ZenBook Flip 13 UX362FA";"13""";"Integrated";"Thin (13""-14"")"
"DELL Vostro 5581";"15""";"None";"None"
"Lenovo IdeaPad 110 17 AMD";"16"">";"Integrated";"Integrated GPU (15"">)"
"Lenovo ThinkPad T580";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo THINKPAD X1";"None";"Integrated";"None"
"HP 14-bs000";"14""";"External MS";"Thin (13""-14"")"
"MSI PS63 Modern 8RC";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS ZenBook Flip 14 UM462";"14""";"Integrated";"Thin (13""-14"")"
"MSI GL73 9SC";"16"">";"External GM";"Gamer GPU (15"">)"
"DELL Latitude 5501";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer TRAVELMATE P238-M";"13""";"Integrated";"Thin (13""-14"")"
"Acer ASPIRE E5-575G";"15""";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 15-cc500";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo IdeaPad 320 15 Intel";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS VivoBook 15 X543UA";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS ZenBook 13 UX333";"13""";"External MS";"Thin (13""-14"")"
"Lenovo ThinkPad T590";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"DELL XPS 15 9570";"15""";"External None";"None"
"MSI GS65 Stealth 9SE";"15""";"External GM";"Gamer GPU (15"">)"
"Acer SWIFT 3 (SF314-55)";"14""";"Integrated";"Thin (13""-14"")"
"HP 14-bp000";"14""";"External MS";"Thin (13""-14"")"
"Acer Predator Triton 500 (PT515-51)";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo ThinkPad X390";"13""";"Integrated";"Thin (13""-14"")"
"Lenovo Yoga 920-13";"13""";"Integrated";"Thin (13""-14"")"
"Lenovo IdeaPad Yoga 13";"13""";"Integrated";"Thin (13""-14"")"
"ASUS X540NV";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo ThinkPad T490";"14""";"External MS";"Thin (13""-14"")"
"HP PAVILION 15-dp0000";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS ZENBOOK UX303UA";"13""";"External MS";"Thin (13""-14"")"
"Lenovo Yoga 730-15";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo Legion Y530";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS VivoBook S13 S330FN";"13""";"External MS";"Thin (13""-14"")"
"Xiaomi RedmiBook 13""";"13""";"External MS";"Thin (13""-14"")"
"HP PAVILION 14-cd1000 x360";"14""";"None";"Thin (13""-14"")"
"ASUS ZenBook 13 UX331FN";"13""";"External MS";"Thin (13""-14"")"
"ASUS ROG Zephyrus S GX535";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS VivoBook 15 X542UF";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP 255 G6";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo ThinkPad X395";"13""";"Integrated";"Thin (13""-14"")"
"Lenovo Ideapad 330-14 Intel";"14""";"Integrated";"Thin (13""-14"")"
"HP 15-ay100";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP EliteBook 830 G5";"13""";"Integrated";"Thin (13""-14"")"
"Acer TravelMate P2 (TMP215-51G)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo ThinkPad L380 Yoga";"13""";"Integrated";"Thin (13""-14"")"
"HP PAVILION 15-cw0000";"15""";"Integrated";"Integrated GPU (15"">)"
"HP PAVILION 15-bc300";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo IdeaPad 520s 14";"14""";"None";"Thin (13""-14"")"
"MSI GS65 Stealth 9SF";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo IdeaPad Flex 14";"14""";"None";"Thin (13""-14"")"
"HP Envy 15-bq000 x360";"15""";"Integrated";"Integrated GPU (15"">)"
"HP PAVILION POWER 15-cb000";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS TUF Gaming FX504";"15""";"External GM";"Gamer GPU (15"">)"
"DELL G3 17 3779";"16"">";"External GM";"Gamer GPU (15"">)"
"HP ZBook Studio G5";"15""";"External Pro";"Prof. WS"
"Acer SWIFT 3 (SF314-54G)";"14""";"External MS";"Thin (13""-14"")"
"ASUS ZenBook Pro Duo UX581";"15""";"External GM";"Gamer GPU (15"">)"
"MSI Creator 17M A9";"16"">";"External GM";"Gamer GPU (15"">)"
"Lenovo Legion Y540-17";"16"">";"External GM";"Gamer GPU (15"">)"
"HP 250 G5";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"MSI GS75 Stealth 9SD";"16"">";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 15-bc400";"15""";"External GM";"Gamer GPU (15"">)"
"Lenovo ThinkPad T480";"14""";"External MS";"Thin (13""-14"")"
"Acer ASPIRE 3 (A317-32)";"16"">";"Integrated";"Integrated GPU (15"">)"
"Haier HI133L";"13""";"Integrated";"Thin (13""-14"")"
"HP PAVILION 14-ce1000";"14""";"External MS";"Thin (13""-14"")"
"ASUS R540";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS ZenBook 13 UX331UN";"13""";"External MS";"Thin (13""-14"")"
"Apple MacBook Pro 13 with Retina display Mid 2017";"13""";"Integrated";"Thin (13""-14"")"
"DELL INSPIRON 5770";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"Irbis NB153";"13""";"Integrated";"Thin (13""-14"")"
"Lenovo ThinkPad P71";"16"">";"External Pro";"Prof. WS"
"DELL INSPIRON 3180";"<12""";"Integrated";"Mini (<12"")"
"HP Envy 13-ah1000";"13""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook Max X541NA";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo V15";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI GL63 8RCS";"15""";"External GM";"Gamer GPU (15"">)"
"Prestigio Smartbook 141 C2";"14""";"Integrated";"Thin (13""-14"")"
"Lenovo ThinkPad Edge E590";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS ZENBOOK UX305FA";"13""";"Integrated";"Thin (13""-14"")"
"HP 17-bs000";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS TUF Gaming FX705DT";"16"">";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 14-ba100 x360";"14""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook 15 X510";"15""";"External None";"None"
"Acer SWIFT 3 (SF314-56G)";"14""";"External MS";"Thin (13""-14"")"
"Lenovo IdeaPad 320s 15";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo IdeaPad 320 17 Intel";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo THINKPAD X270";"<12""";"Integrated";"Mini (<12"")"
"Acer Extensa EX2520G";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS X540SC";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer Predator Helios 300 (G3-572)";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS X751MA";"16"">";"Integrated";"Integrated GPU (15"">)"
"ASUS X540LJ";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS R540YA";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer Extensa EX2519";"15""";"Integrated";"Integrated GPU (15"">)"
"HP ProBook 430 G7";"13""";"Integrated";"Thin (13""-14"")"
"Acer ASPIRE 7 (A715-72G)";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS X540SA";"15""";"None";"None"
"Lenovo IdeaPad 310 15 Intel";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo Yoga 730-13";"13""";"Integrated";"Thin (13""-14"")"
"DELL Inspiron 7490";"14""";"External MS";"Thin (13""-14"")"
"MSI Alpha 15";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP 15-bw500";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer SWIFT 3 (SF315-52)";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook S14 S406UA";"14""";"Integrated";"Thin (13""-14"")"
"MSI GT76 Titan DT 9SG";"16"">";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE 3 (A315-33)";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad 720s 14";"14""";"External MS";"Thin (13""-14"")"
"HP EliteBook 8570w";"15""";"None";"None"
"DIGMA CITI E600";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad 100 15";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer SWIFT 3 (SF514-54GT)";"14""";"External MS";"Thin (13""-14"")"
"ASUS VivoBook Pro N752VX";"16"">";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 15-cc000";"15""";"None";"None"
"ASUS ROG Zephyrus S GX701";"16"">";"External GM";"Gamer GPU (15"">)"
"Acer Swift 3 (SF314-57G)";"14""";"External MS";"Thin (13""-14"")"
"Lenovo ThinkPad X1 Extreme";"15""";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 17-ab400";"16"">";"External GM";"Gamer GPU (15"">)"
"Microsoft Surface Book 2 15";"15""";"External GM";"Gamer GPU (15"">)"
"HP ProBook 440 G7";"14""";"Integrated";"Thin (13""-14"")"
"HP 250 G3";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Microsoft Surface Book 2 13.5";"13""";"External GM";"Thin (13""-14"")"
"HP Spectre 13-af000";"13""";"Integrated";"Thin (13""-14"")"
"DELL Latitude 7200 2-in-1";"<12""";"Integrated";"Mini (<12"")"
"Alienware M17 R2";"16"">";"External GM";"Gamer GPU (15"">)"
"HP ZBook 15 G3";"15""";"External Pro";"Prof. WS"
"ASUS VivoBook 15 X540BA";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer Predator Helios 300 (PH315-52)";"15""";"External GM";"Gamer GPU (15"">)"
"HP Envy 13-aq0000";"13""";"External MS";"Thin (13""-14"")"
"ASUS ROG Strix G731";"16"">";"External GM";"Gamer GPU (15"">)"
"ASUS FX553VE";"15""";"None";"None"
"MSI GP75 Leopard 9SE";"16"">";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 15-cc100";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo ThinkPad L390";"13""";"Integrated";"Thin (13""-14"")"
"DELL PRECISION 5530";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS X555YI";"15""";"External None";"None"
"HP 15-ba000";"15""";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE ES1-523";"15""";"Integrated";"Integrated GPU (15"">)"
"HP OMEN 17-an100";"16"">";"External GM";"Gamer GPU (15"">)"
"Acer TravelMate P2 (TMP215-51)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer Extensa EX2511G";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer Predator Helios 300 (PH317-51)";"16"">";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE 3 (A317-51K)";"16"">";"Integrated";"Integrated GPU (15"">)"
"Acer TravelMate P2 (TMP278-M)";"16"">";"Integrated";"Integrated GPU (15"">)"
"DIGMA CITI E404 PRO";"14""";"Integrated";"Thin (13""-14"")"
"HP ProBook 645 G4";"14""";"Integrated";"Thin (13""-14"")"
"ASUS ZenBook Flip S UX370UA";"13""";"Integrated";"Thin (13""-14"")"
"Lenovo V155";"15""";"Integrated";"Integrated GPU (15"">)"
"HP EliteBook 1030 G1";"13""";"Integrated";"Thin (13""-14"")"
"Acer ASPIRE 7 (A717-71G)";"16"">";"External GM";"Gamer GPU (15"">)"
"HP Envy 15-as000";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI GE65 Raider 9SE";"15""";"External GM";"Gamer GPU (15"">)"
"HP EliteBook 820 G3";"<12""";"Integrated";"Mini (<12"")"
"HP OMEN X 17-ap000";"16"">";"External GM";"Gamer GPU (15"">)"
"ASUS R556";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP 14-am000";"14""";"Integrated";"Thin (13""-14"")"
"ASUS X570UD";"15""";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE S5-371";"13""";"Integrated";"Thin (13""-14"")"
"ASUS ZenBook Flip UX561UA";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook Pro 15 N580GD";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS X555LA";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS FX503VD";"15""";"External GM";"Gamer GPU (15"">)"
"Acer Predator 15 (G9-593)";"15""";"External GM";"Gamer GPU (15"">)"
"HP ProBook 430 G4";"13""";"Integrated";"Thin (13""-14"")"
"MSI GL75 9SC";"16"">";"External GM";"Gamer GPU (15"">)"
"HP 17-p100";"16"">";"Integrated";"Integrated GPU (15"">)"
"DELL Latitude 7400";"14""";"Integrated";"Thin (13""-14"")"
"Acer Nitro 5 (AN515-31)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP ENVY 13-ag0000 x360";"13""";"Integrated";"Thin (13""-14"")"
"Acer Predator Helios 300 (PH317-53)";"16"">";"External GM";"Gamer GPU (15"">)"
"MSI GL63 8SDK";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS ZenBook Pro 14 UX480";"14""";"External GM";"Thin (13""-14"")"
"ASUS ROG G2S";"16"">";"None";"None"
"MSI GP62 8RC WOT Edition";"15""";"External GM";"Gamer GPU (15"">)"
"HP Chromebook x360 14 G1";"14""";"Integrated";"Thin (13""-14"")"
"DELL INSPIRON 5482 2-in-1";"14""";"External MS";"Thin (13""-14"")"
"MSI GT63 Titan 8RG";"15""";"External GM";"Gamer GPU (15"">)"
"HP Spectre Folio 13-ak0000";"13""";"Integrated";"Thin (13""-14"")"
"Lenovo IdeaPad 720s 15";"15""";"External GM";"Gamer GPU (15"">)"
"HP 630";"15""";"None";"None"
"HP 17-x000";"16"">";"Integrated";"Integrated GPU (15"">)"
"ASUS X550LA";"15""";"None";"None"
"Acer Aspire 3 (A315-32)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"MSI GS75 Stealth 9SE";"16"">";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 14-cd0000 x360";"14""";"External MS";"Thin (13""-14"")"
"DELL Inspiron 3781";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS R540SA";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo IdeaPad S21e20";"<12""";"Integrated";"Mini (<12"")"
"Apple MacBook Pro 13 with Retina display and Touch Bar Mid 2018";"13""";"Integrated";"Thin (13""-14"")"
"ASUS X555YA";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo Legion Y545";"15""";"External GM";"Gamer GPU (15"">)"
"HP 15-ac600";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo THINKPAD T495s";"14""";"Integrated";"Thin (13""-14"")"
"Acer Swift 3 (SF314-41G)";"14""";"External MS";"Thin (13""-14"")"
"Lenovo IdeaPad 720 15";"15""";"None";"None"
"Acer ASPIRE ES1-520-38XM";"15""";"Integrated";"Integrated GPU (15"">)"
"Lenovo B70-80";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS VivoBook 15 X510UQ";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP ProBook 455R G6";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS X555BP";"15""";"None";"None"
"DELL Latitude 5400";"14""";"Integrated";"Thin (13""-14"")"
"HP OMEN 17-an000";"16"">";"External GM";"Gamer GPU (15"">)"
"ASUS Zenbook UX310UQ";"13""";"External MS";"Thin (13""-14"")"
"Acer Extensa 2510G-54TK";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS ROG GL504";"15""";"External GM";"Gamer GPU (15"">)"
"MSI WS75 9TL";"16"">";"External GM";"Gamer GPU (15"">)"
"MSI GL63 8RD";"15""";"External GM";"Gamer GPU (15"">)"
"MSI GL75 9SE";"16"">";"External GM";"Gamer GPU (15"">)"
"Lenovo THINKPAD X1 Carbon Ultrabook (6th Gen)";"14""";"Integrated";"Thin (13""-14"")"
"HP PAVILION 15-cr0000 x360";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo Legion Y730-17";"16"">";"External GM";"Gamer GPU (15"">)"
"Lenovo IdeaPad 110 15 AMD";"15""";"None";"None"
"Acer Predator Helios 500 (PH517-51)";"16"">";"External GM";"Gamer GPU (15"">)"
"ASUS X553SA";"15""";"Integrated";"Integrated GPU (15"">)"
"Acer SPIN 3 (SP314-53N)";"14""";"Integrated";"Thin (13""-14"")"
"Acer ASPIRE 3 (A315-21G)";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo V310 15";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Lenovo V510 14";"14""";"Integrated";"Thin (13""-14"")"
"HP Spectre 13-ae000 x360";"13""";"Integrated";"Thin (13""-14"")"
"Haier ES34";"13""";"Integrated";"Thin (13""-14"")"
"DELL Inspiron 3580";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS VivoBook 17 X705UF";"16"">";"External MS";"Ex. Mainstream GPU (15"">)"
"HP Envy 13-ah0000";"13""";"External MS";"Thin (13""-14"")"
"ASUS A507UB";"15""";"None";"None"
"ASUS VivoBook S14 S410";"14""";"External MS";"Thin (13""-14"")"
"Lenovo IdeaPad 110 15 Intel";"15""";"Integrated";"Integrated GPU (15"">)"
"DELL Precision 7540";"15""";"External GM";"Gamer GPU (15"">)"
"HP ZBook Studio x360 G5";"15""";"External Pro";"Prof. WS"
"Lenovo Yoga 500 14";"14""";"None";"Thin (13""-14"")"
"HP 650";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS TUF Gaming FX705DY";"16"">";"External GM";"Gamer GPU (15"">)"
"Lenovo Ideapad 330 17 AMD";"16"">";"Integrated";"Integrated GPU (15"">)"
"Lenovo Legion Y740-15";"15""";"External GM";"Gamer GPU (15"">)"
"Acer Extensa EX2530";"15""";"Integrated";"Integrated GPU (15"">)"
"MSI GL63 8SC";"15""";"External GM";"Gamer GPU (15"">)"
"DELL Vostro 5370";"13""";"External MS";"Thin (13""-14"")"
"ASUS R540SC";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP 15-g200";"15""";"None";"None"
"Acer ConceptD 7 (CN715-71)";"15""";"External GM";"Gamer GPU (15"">)"
"Panasonic TOUGHBOOK CF-31";"13""";"Integrated";"Thin (13""-14"")"
"MSI GF75 Thin 8RC";"16"">";"External GM";"Gamer GPU (15"">)"
"DELL LATITUDE 5290";"<12""";"Integrated";"Mini (<12"")"
"HP EliteBook 850 G3";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS VivoBook 15 X542BP";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer SPIN 13 (CP713-1WN)";"13""";"Integrated";"Thin (13""-14"")"
"DELL XPS 13 9380";"13""";"Integrated";"Thin (13""-14"")"
"Lenovo Yoga S730";"13""";"Integrated";"Thin (13""-14"")"
"Acer Predator Helios 300 (PH317-52)";"16"">";"External GM";"Gamer GPU (15"">)"
"Acer ASPIRE E5-573G-38TN";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS VivoBook Max X541UJ";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP 15-af100";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"MSI GT75 8RF Titan";"16"">";"External GM";"Gamer GPU (15"">)"
"HP 14-cf1000";"14""";"External MS";"Thin (13""-14"")"
"DELL LATITUDE 3490";"14""";"External MS";"Thin (13""-14"")"
"Apple MacBook Air 13 Early 2015";"13""";"Integrated";"Thin (13""-14"")"
"HP 255 G4";"15""";"Integrated";"Integrated GPU (15"">)"
"HP 255 G5";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS R540NV";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP PAVILION 14-bf000";"14""";"External MS";"Thin (13""-14"")"
"MSI GL73 8SE";"16"">";"External GM";"Gamer GPU (15"">)"
"MSI GE75 8SF Raider";"16"">";"External GM";"Gamer GPU (15"">)"
"Lenovo Yoga 720 13";"13""";"Integrated";"Thin (13""-14"")"
"HP PAVILION 15-cd000";"15""";"None";"None"
"ASUS VivoBook 15 X542UQ";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS X555UB";"15""";"None";"None"
"RoverBook Roverbook B510";"15""";"Integrated";"Integrated GPU (15"">)"
"ASUS X555LF";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"ASUS VivoBook R540UB";"15""";"None";"None"
"MSI GF72 8RD";"16"">";"External GM";"Gamer GPU (15"">)"
"ASUS Zenbook UX410UF";"14""";"External MS";"Thin (13""-14"")"
"ASUS Vivobook X556UQ";"15""";"External None";"None"
"Lenovo V14";"14""";"Integrated";"Thin (13""-14"")"
"DELL XPS 13 7390 2-in-1";"13""";"Integrated";"Thin (13""-14"")"
"MSI GL73 8SDK";"16"">";"External GM";"Gamer GPU (15"">)"
"HP PAVILION 15-ab000";"15""";"None";"None"
"Lenovo THINKPAD X1 Carbon Ultrabook (5th Gen)";"14""";"Integrated";"Thin (13""-14"")"
"DELL Precision 5530 2-in-1";"15""";"External Pro";"Prof. WS"
"HP 15-af000";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"HP PAVILION 17-ab300";"16"">";"External GM";"Gamer GPU (15"">)"
"ASUS X554LJ";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"Acer TravelMate P6 (P614-51T)";"14""";"Integrated";"Thin (13""-14"")"
"DELL Inspiron 3583";"15""";"External MS";"Ex. Mainstream GPU (15"">)"
"MSI GL63 8RC";"15""";"External GM";"Gamer GPU (15"">)"
"ASUS ROG GL702VM";"16"">";"External GM";"Gamer GPU (15"">)"
"Acer Predator 17 (G5-793)";"16"">";"External GM";"Gamer GPU (15"">)"
"HP 15-ac000";"15""";"Integrated";"Integrated GPU (15"">)"
